rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
226;arriver;arrive;arrives;arrive;arrivons;arrivez;arrivent;arrivez;arrivant;arrivé;arrivée;arrivés;arrivées;arriverai;arriveras;arrivera;arriverons;arriverez;arriveront;arrivais;arrivais;arrivait;arrivions;arriviez;arrivaient;arriverais;arriverais;arriverait;arriverions;arriveriez;arriveraient;arrive;arrives;arrive;arrivions;arriviez;arrivent;arrivai;arrivas;arriva;arrivâmes;arrivâtes;arrivèrent;arrivasse;arrivasses;arrivât;arrivassions;arrivassiez;arrivassent
232;soir;sois;sois;soit;soyons;soyez;soient;;soyant;su;sue;sus;sues;soirai;soiras;soira;soirons;soirez;soiront;;;;;;;soirais;soirais;soirait;soirions;soiriez;soiraient;;;;;;;sus;sus;sut;sûmes;sûtes;surent;;;sût;;;
233;recevoir;reçois;reçois;reçoit;recevons;recevez;reçoivent;recevez;recevant;reçu;reçue;reçus;reçues;recevrai;recevras;recevra;recevrons;recevrez;recevront;recevais;recevais;recevait;recevions;receviez;recevaient;recevrais;recevrais;recevrait;recevrions;recevriez;recevraient;reçoive;reçoives;reçoive;recevions;receviez;reçoivent;reçus;reçus;reçut;reçûmes;reçûtes;reçurent;reçusse;reçusses;reçût;reçussions;reçussiez;reçussent
235;poursuivre;poursuis;poursuis;poursuit;poursuivons;poursuivez;poursuivent;poursuivez;poursuivant;poursuivi;poursuivie;poursuivis;poursuivies;poursuivrai;poursuivras;poursuivra;poursuivrons;poursuivrez;poursuivront;poursuivais;poursuivais;poursuivait;poursuivions;poursuiviez;poursuivaient;poursuivrais;poursuivrais;poursuivrait;poursuivrions;poursuivriez;poursuivraient;poursuive;poursuives;poursuive;poursuivions;poursuiviez;poursuivent;poursuivis;poursuivis;poursuivit;poursuivîmes;poursuivîtes;poursuivirent;poursuivisse;poursuivisses;poursuivît;poursuivissions;poursuivissiez;poursuivissent
236;assurer;assure;assures;assure;assurons;assurez;assurent;assurez;assurant;assuré;assurée;assurés;assurées;assurerai;assureras;assurera;assurerons;assurerez;assureront;assurais;assurais;assurait;assurions;assuriez;assuraient;assurerais;assurerais;assurerait;assurerions;assureriez;assureraient;assure;assures;assure;assurions;assuriez;assurent;assurai;assuras;assura;assurâmes;assurâtes;assurèrent;assurasse;assurasses;assurât;assurassions;assurassiez;assurassent
238;viser;vise;vises;vise;visons;visez;visent;visez;visant;visé;visée;visés;visées;viserai;viseras;visera;viserons;viserez;viseront;visais;visais;visait;visions;visiez;visaient;viserais;viserais;viserait;viserions;viseriez;viseraient;vise;vises;vise;visions;visiez;visent;visai;visas;visa;visâmes;visâtes;visèrent;visasse;visasses;visât;visassions;visassiez;visassent
240;travailler;travaille;travailles;travaille;travaillons;travaillez;travaillent;travaillez;travaillant;travaillé;travaillée;travaillés;travaillées;travaillerai;travailleras;travaillera;travaillerons;travaillerez;travailleront;travaillais;travaillais;travaillait;travaillions;travailliez;travaillaient;travaillerais;travaillerais;travaillerait;travaillerions;travailleriez;travailleraient;travaille;travailles;travaille;travaillions;travailliez;travaillent;travaillai;travaillas;travailla;travaillâmes;travaillâtes;travaillèrent;travaillasse;travaillasses;travaillât;travaillassions;travaillassiez;travaillassent
242;octobre;octis;octis;octit;octivons;octivez;octivent;octivez;octivant;octécu;octécue;octécus;octécues;octivrai;octivras;octivra;octivrons;octivrez;octivront;octivais;octivais;octivait;octivions;octiviez;octivaient;octivrais;octivrais;octivrait;octivrions;octivriez;octivraient;octive;octives;octive;octivions;octiviez;octivent;octécus;octécus;octécut;octécûmes;octécûtes;octécurent;octécusse;octécusses;octécût;octécussions;octécussiez;octécussent
248;créer;crée;crées;crée;créons;créez;créent;créez;créant;créé;créée;créés;créées;créerai;créeras;créera;créerons;créerez;créeront;créais;créais;créait;créions;créiez;créaient;créerais;créerais;créerait;créerions;créeriez;créeraient;crée;crées;crée;créions;créiez;créent;créai;créas;créa;créâmes;créâtes;créèrent;créasse;créasses;créât;créassions;créassiez;créassent
250;affaire;affais;affais;affait;affaisons;affaites;affont;affaites;affaisant;affait;affaite;affaits;affaites;afferai;afferas;affera;afferons;afferez;afferont;affaisais;affaisais;affaisait;affaisions;affaisiez;affaisaient;afferais;afferais;afferait;afferions;afferiez;afferaient;affasse;affasses;affasse;affassions;affassiez;affassent;affis;affis;affit;affîmes;affîtes;affirent;affisse;affisses;affît;affissions;affissiez;affissent
252;indiquer;indique;indiques;indique;indiquons;indiquez;indiquent;indiquez;indiquant;indiqué;indiquée;indiqués;indiquées;indiquerai;indiqueras;indiquera;indiquerons;indiquerez;indiqueront;indiquais;indiquais;indiquait;indiquions;indiquiez;indiquaient;indiquerais;indiquerais;indiquerait;indiquerions;indiqueriez;indiqueraient;indique;indiques;indique;indiquions;indiquiez;indiquent;indiquai;indiquas;indiqua;indiquâmes;indiquâtes;indiquèrent;indiquasse;indiquasses;indiquât;indiquassions;indiquassiez;indiquassent
253;durer;dure;dures;dure;durons;durez;durent;durez;durant;duré;durée;durés;durées;durerai;dureras;durera;durerons;durerez;dureront;durais;durais;durait;durions;duriez;duraient;durerais;durerais;durerait;durerions;dureriez;dureraient;dure;dures;dure;durions;duriez;durent;durai;duras;dura;durâmes;durâtes;durèrent;durasse;durasses;durât;durassions;durassiez;durassent
254;sembler;semble;sembles;semble;semblons;semblez;semblent;semblez;semblant;semblé;semblée;semblés;semblées;semblerai;sembleras;semblera;semblerons;semblerez;sembleront;semblais;semblais;semblait;semblions;sembliez;semblaient;semblerais;semblerais;semblerait;semblerions;sembleriez;sembleraient;semble;sembles;semble;semblions;sembliez;semblent;semblai;semblas;sembla;semblâmes;semblâtes;semblèrent;semblasse;semblasses;semblât;semblassions;semblassiez;semblassent
256;mener;mène;mènes;mène;menons;menez;mènent;menez;menant;mené;menée;menés;menées;mènerai;mèneras;mènera;mènerons;mènerez;mèneront;menais;menais;menait;menions;meniez;menaient;mènerais;mènerais;mènerait;mènerions;mèneriez;mèneraient;mène;mènes;mène;menions;meniez;mènent;menai;menas;mena;menâmes;menâtes;menèrent;menasse;menasses;menât;menassions;menassiez;menassent
259;titre;tis;tis;tit;tivons;tivez;tivent;tivez;tivant;técu;técue;técus;técues;tivrai;tivras;tivra;tivrons;tivrez;tivront;tivais;tivais;tivait;tivions;tiviez;tivaient;tivrais;tivrais;tivrait;tivrions;tivriez;tivraient;tive;tives;tive;tivions;tiviez;tivent;técus;técus;técut;técûmes;técûtes;técurent;técusse;técusses;técût;técussions;técussiez;técussent
260;rencontre;renconts;renconts;rencontt;rencontvons;rencontvez;rencontvent;rencontvez;rencontvant;rencontt;rencontte;rencontts;renconttes;rencontrai;rencontras;rencontra;rencontrons;rencontrez;rencontront;rencontvais;rencontvais;rencontvait;rencontvions;rencontviez;rencontvaient;rencontrais;rencontrais;rencontrait;rencontrions;rencontriez;rencontraient;rencontve;rencontves;rencontve;rencontvions;rencontviez;rencontvent;rencontvis;rencontvis;rencontvit;rencontvîmes;rencontvîtes;rencontvirent;rencontvisse;rencontvisses;rencontvît;rencontvissions;rencontvissiez;rencontvissent
263;demander;demande;demandes;demande;demandons;demandez;demandent;demandez;demandant;demandé;demandée;demandés;demandées;demanderai;demanderas;demandera;demanderons;demanderez;demanderont;demandais;demandais;demandait;demandions;demandiez;demandaient;demanderais;demanderais;demanderait;demanderions;demanderiez;demanderaient;demande;demandes;demande;demandions;demandiez;demandent;demandai;demandas;demanda;demandâmes;demandâtes;demandèrent;demandasse;demandasses;demandât;demandassions;demandassiez;demandassent
264;nombre;nomds;nomds;nomd;nomdons;nomdez;nomdent;nomdez;nomdant;nomdu;nomdue;nomdus;nomdues;nomdrai;nomdras;nomdra;nomdrons;nomdrez;nomdront;nomdais;nomdais;nomdait;nomdions;nomdiez;nomdaient;nomdrais;nomdrais;nomdrait;nomdrions;nomdriez;nomdraient;nomde;nomdes;nomde;nomdions;nomdiez;nomdent;nomdis;nomdis;nomdit;nomdîmes;nomdîtes;nomdirent;nomdisse;nomdisses;nomdît;nomdissions;nomdissiez;nomdissent
268;commencer;commence;commences;commence;commençons;commencez;commencent;commencez;commençant;commencé;commencée;commencés;commencées;commencerai;commenceras;commencera;commencerons;commencerez;commenceront;commençais;commençais;commençait;commencions;commenciez;commençaient;commencerais;commencerais;commencerait;commencerions;commenceriez;commenceraient;commence;commences;commence;commencions;commenciez;commencent;commençai;commenças;commença;commençâmes;commençâtes;commencèrent;commençasse;commençasses;commençât;commençassions;commençassiez;commençassent
269;réaliser;réalise;réalises;réalise;réalisons;réalisez;réalisent;réalisez;réalisant;réalisé;réalisée;réalisés;réalisées;réaliserai;réaliseras;réalisera;réaliserons;réaliserez;réaliseront;réalisais;réalisais;réalisait;réalisions;réalisiez;réalisaient;réaliserais;réaliserais;réaliserait;réaliserions;réaliseriez;réaliseraient;réalise;réalises;réalise;réalisions;réalisiez;réalisent;réalisai;réalisas;réalisa;réalisâmes;réalisâtes;réalisèrent;réalisasse;réalisasses;réalisât;réalisassions;réalisassiez;réalisassent
272;victoire;victais;victais;victait;victaisons;victaites;victont;victaites;victaisant;victait;victaite;victaits;victaites;victerai;victeras;victera;victerons;victerez;victeront;victaisais;victaisais;victaisait;victaisions;victaisiez;victaisaient;victerais;victerais;victerait;victerions;victeriez;victeraient;victasse;victasses;victasse;victassions;victassiez;victassent;victis;victis;victit;victîmes;victîtes;victirent;victisse;victisses;victît;victissions;victissiez;victissent
273;cadre;cads;cads;cad;cadons;cadez;cadent;cadez;cadant;cadu;cadue;cadus;cadues;cadrai;cadras;cadra;cadrons;cadrez;cadront;cadais;cadais;cadait;cadions;cadiez;cadaient;cadrais;cadrais;cadrait;cadrions;cadriez;cadraient;cade;cades;cade;cadions;cadiez;cadent;cadis;cadis;cadit;cadîmes;cadîtes;cadirent;cadisse;cadisses;cadît;cadissions;cadissiez;cadissent
274;perdre;perds;perds;perd;perdons;perdez;perdent;perdez;perdant;perdu;perdue;perdus;perdues;perdrai;perdras;perdra;perdrons;perdrez;perdront;perdais;perdais;perdait;perdions;perdiez;perdaient;perdrais;perdrais;perdrait;perdrions;perdriez;perdraient;perde;perdes;perde;perdions;perdiez;perdent;perdis;perdis;perdit;perdîmes;perdîtes;perdirent;perdisse;perdisses;perdît;perdissions;perdissiez;perdissent
282;vivre;vis;vis;vit;vivons;vivez;vivent;vivez;vivant;vécu;vécue;vécus;vécues;vivrai;vivras;vivra;vivrons;vivrez;vivront;vivais;vivais;vivait;vivions;viviez;vivaient;vivrais;vivrais;vivrait;vivrions;vivriez;vivraient;vive;vives;vive;vivions;viviez;vivent;vécus;vécus;vécut;vécûmes;vécûtes;vécurent;vécusse;vécusses;vécût;vécussions;vécussiez;vécussent
283;janvier;janvie;janvies;janvie;janvions;janviez;janvient;janviez;janviant;janvié;janviée;janviés;janviées;janvierai;janvieras;janviera;janvierons;janvierez;janvieront;janviais;janviais;janviait;janviions;janviiez;janviaient;janvierais;janvierais;janvierait;janvierions;janvieriez;janvieraient;janvie;janvies;janvie;janviions;janviiez;janvient;janviai;janvias;janvia;janviâmes;janviâtes;janvièrent;janviasse;janviasses;janviât;janviassions;janviassiez;janviassent
286;appeler;appelle;appelles;appelle;appelons;appelez;appellent;appelez;appelant;appelé;appelée;appelés;appelées;appellerai;appelleras;appellera;appellerons;appellerez;appelleront;appelais;appelais;appelait;appelions;appeliez;appelaient;appellerais;appellerais;appellerait;appellerions;appelleriez;appelleraient;appelle;appelles;appelle;appelions;appeliez;appellent;appelai;appelas;appela;appelâmes;appelâtes;appelèrent;appelasse;appelasses;appelât;appelassions;appelassiez;appelassent
297;rappeler;rappelle;rappelles;rappelle;rappelons;rappelez;rappellent;rappelez;rappelant;rappelé;rappelée;rappelés;rappelées;rappellerai;rappelleras;rappellera;rappellerons;rappellerez;rappelleront;rappelais;rappelais;rappelait;rappelions;rappeliez;rappelaient;rappellerais;rappellerais;rappellerait;rappellerions;rappelleriez;rappelleraient;rappelle;rappelles;rappelle;rappelions;rappeliez;rappellent;rappelai;rappelas;rappela;rappelâmes;rappelâtes;rappelèrent;rappelasse;rappelasses;rappelât;rappelassions;rappelassiez;rappelassent
298;novembre;noveis;noveis;noveit;noveivons;noveivez;noveivent;noveivez;noveivant;noveécu;noveécue;noveécus;noveécues;noveivrai;noveivras;noveivra;noveivrons;noveivrez;noveivront;noveivais;noveivais;noveivait;noveivions;noveiviez;noveivaient;noveivrais;noveivrais;noveivrait;noveivrions;noveivriez;noveivraient;noveive;noveives;noveive;noveivions;noveiviez;noveivent;noveécus;noveécus;noveécut;noveécûmes;noveécûtes;noveécurent;noveécusse;noveécusses;noveécût;noveécussions;noveécussiez;noveécussent
299;septembre;septems;septems;septemt;septemvons;septemvez;septemvent;septemvez;septemvant;septemvi;septemvie;septemvis;septemvies;septemvirai;septemviras;septemvira;septemvirons;septemvirez;septemviront;septemvais;septemvais;septemvait;septemvions;septemviez;septemvaient;septemvirais;septemvirais;septemvirait;septemvirions;septemviriez;septemviraient;septemve;septemves;septemve;septemvions;septemviez;septemvent;septemvis;septemvis;septemvit;septemvîmes;septemvîtes;septemvirent;septemvisse;septemvisses;septemvît;septemvissions;septemvissiez;septemvissent
300;ministère;minioîs;minioîs;minioît;minioissons;minioissez;minioissent;minioissez;minioissant;miniu;miniue;minius;miniues;minioîtrai;minioîtras;minioîtra;minioîtrons;minioîtrez;minioîtront;minioissais;minioissais;minioissait;minioissions;minioissiez;minioissaient;minioîtrais;minioîtrais;minioîtrait;minioîtrions;minioîtriez;minioîtraient;minioisse;minioisses;minioisse;minioissions;minioissiez;minioissent;minius;minius;miniut;miniûmes;miniûtes;miniurent;miniusse;miniusses;miniût;miniussions;miniussiez;miniussent
302;marquer;marque;marques;marque;marquons;marquez;marquent;marquez;marquant;marqué;marquée;marqués;marquées;marquerai;marqueras;marquera;marquerons;marquerez;marqueront;marquais;marquais;marquait;marquions;marquiez;marquaient;marquerais;marquerais;marquerait;marquerions;marqueriez;marqueraient;marque;marques;marque;marquions;marquiez;marquent;marquai;marquas;marqua;marquâmes;marquâtes;marquèrent;marquasse;marquasses;marquât;marquassions;marquassiez;marquassent
307;décembre;déceis;déceis;déceit;déceivons;déceivez;déceivent;déceivez;déceivant;déceécu;déceécue;déceécus;déceécues;déceivrai;déceivras;déceivra;déceivrons;déceivrez;déceivront;déceivais;déceivais;déceivait;déceivions;déceiviez;déceivaient;déceivrais;déceivrais;déceivrait;déceivrions;déceivriez;déceivraient;déceive;déceives;déceive;déceivions;déceiviez;déceivent;déceécus;déceécus;déceécut;déceécûmes;déceécûtes;déceécurent;déceécusse;déceécusses;déceécût;déceécussions;déceécussiez;déceécussent
314;laisser;laisse;laisses;laisse;laissons;laissez;laissent;laissez;laissant;laissé;laissée;laissés;laissées;laisserai;laisseras;laissera;laisserons;laisserez;laisseront;laissais;laissais;laissait;laissions;laissiez;laissaient;laisserais;laisserais;laisserait;laisserions;laisseriez;laisseraient;laisse;laisses;laisse;laissions;laissiez;laissent;laissai;laissas;laissa;laissâmes;laissâtes;laissèrent;laissasse;laissasses;laissât;laissassions;laissassiez;laissassent
315;soutenir;soutiens;soutiens;soutient;soutenons;soutenez;soutiennent;soutenez;soutenant;soutenu;soutenue;soutenus;soutenues;soutiendrai;soutiendras;soutiendra;soutiendrons;soutiendrez;soutiendront;soutenais;soutenais;soutenait;soutenions;souteniez;soutenaient;soutiendrais;soutiendrais;soutiendrait;soutiendrions;soutiendriez;soutiendraient;soutienne;soutiennes;soutienne;soutenions;souteniez;soutiennent;soutins;soutins;soutint;soutînmes;soutîntes;soutinrent;soutinsse;soutinsses;soutînt;soutinssions;soutinssiez;soutinssent
317;utiliser;utilise;utilises;utilise;utilisons;utilisez;utilisent;utilisez;utilisant;utilisé;utilisée;utilisés;utilisées;utiliserai;utiliseras;utilisera;utiliserons;utiliserez;utiliseront;utilisais;utilisais;utilisait;utilisions;utilisiez;utilisaient;utiliserais;utiliserais;utiliserait;utiliserions;utiliseriez;utiliseraient;utilise;utilises;utilise;utilisions;utilisiez;utilisent;utilisai;utilisas;utilisa;utilisâmes;utilisâtes;utilisèrent;utilisasse;utilisasses;utilisât;utilisassions;utilisassiez;utilisassent
321;répondre;réponds;réponds;répond;répondons;répondez;répondent;répondez;répondant;répondu;répondue;répondus;répondues;répondrai;répondras;répondra;répondrons;répondrez;répondront;répondais;répondais;répondait;répondions;répondiez;répondaient;répondrais;répondrais;répondrait;répondrions;répondriez;répondraient;réponde;répondes;réponde;répondions;répondiez;répondent;répondis;répondis;répondit;répondîmes;répondîtes;répondirent;répondisse;répondisses;répondît;répondissions;répondissiez;répondissent
